Firm,Equity_Attributable_to_Owners,Embedded_Value
1,437.019,475.326
2,310.94,548.401
3,449.285,740.731
4,474.194,764.41
5,408.375,687
6,479.027,806.516
7,537.523,860.312
8,638.1124167,966.679
9,683.6284819,973.74
10,536.186,1152.045
11,34.92520323,129.545
12,83.64066947,210.92
13,437.019,475.326
14,310.94,548.401
15,449.285,740.731
16,474.194,764.41
17,408.375,687
18,479.027,806.516
19,537.523,860.312
20,590.322,1027.603
21,602.018,1065.738
22,536.186,1152.045
23,207.592,294.03
24,166.091,290.36
25,272.256,454.87
26,292.286,537.83
27,267.89,511.1
28,280.977,589.2
29,323.383,667.8
30,363.88,767.3
31,373.524,852.1
32,367.188,874.7
33,207.592,294.03
34,166.091,290.36
35,272.256,454.87
36,292.286,537.83
37,267.89,511.1
38,280.977,589.2
39,323.383,667.8
40,363.88,767.3
41,373.524,852.1
42,367.188,874.7
43,2246.868,3708
44,1695.906,2843
45,2278.310912,4469
46,2703.505648,5028
47,2656.977596,4732
48,3066.707499,5175
49,3689.626919,6033
50,4030.0174,5795
51,4458.342259,5800
52,5111.777942,7320
53,43.33853647,118.7
54,47.30225225,275.1
55,63.53229797,349
56,103.5820362,392
57,143.5398624,489
58,194.8579842,803
59,328.91054,1030
60,310.7869468,1173
61,2246.868,3708
62,1695.906,2843
63,2224.239,4539.6
64,2625.275,5234.1
65,2550.964,4991.6
66,2951.239,5438
67,3557.505,6353
68,3805.045,6361
69,4159.515,6517
70,4806.711,8170
71,2867.072248,3828.4
72,3155.12042,3551
73,3526.10234,5151.3
74,4013.001974,5587.2
75,3988.681742,6255
76,4532.282654,7936
77,4855.279194,9241
78,5131.328437,9864
79,5358.339305,10602
80,5536.805701,11831
81,66.04975208,280.2
82,121.6627411,529
83,67.22670114,724.5
84,44.7620975,993
85,81.19957865,1376
86,154.6530989,1576
87,179.8825891,2222
88,214.4481818,2813
89,248.9282107,3124
90,295.452098,2821
91,2933.122,4108.6
92,2396.756,3863
93,3106.451,5639.7
94,3578.37,6340.3
95,3525.25,7357
96,4147.228,9170
97,4506.369,11122
98,4717.86,12270
99,4906.758,13287
100,5161.231,14250
101,4061.163464,6158.4
102,2937.190344,5310.3
103,3740.949776,7566.9
104,4321.840667,7999.8
105,4092.463773,7522.2
106,3764.988996,8038.1
107,4278.115352,9174
108,4693.925322,8940.3
109,5024.007634,8907.9
110,5175.946314,9810.1
111,75.10336032,702
112,65.56557327,964.4
113,63.41673101,1390.5
114,110.8692222,1845.6
115,146.0964044,1970.5
116,76.42472982,2418.6
117,88.25529334,2952.6
118,66.23613526,3402.4
119,514.9790843,4333.3
120,547.5351686,4401.7
121,3585.678,6643.5
122,2475.039,6059.8
123,3430.399,8722.7
124,3989.233,9565.4
125,3692.816,9183.4
126,3414.375,10147.7
127,3898.031,11775.3
128,4266.821,11968.8
129,4548.028,12496.7
130,4674.188,13448.5
131,3779.891642,7605.5
132,3430.816909,6745.7
133,4389.818162,9733.8
134,4975.570957,9859.1
135,4918.133425,8583.7
136,5178.004691,9269.1
137,5548.370885,10196.9
138,5711.190794,10339
139,5688.260573,11304
140,5858.959088,13894
141,170.9202562,876.6
142,157.1523681,1085.8
143,138.2961375,1511.5
144,170.5778677,2086.4
145,405.3440776,2626.3
146,433.0956529,2944.6
147,458.9599057,3370.8
148,516.6939802,3893
149,554.0694342,4052
150,576.222107,3399
151,3381.296,8212.2
152,2986.81,7580.5
153,4053.153,10960
154,4634.875,11621.1
155,4537.619,10711.5
156,4794.71,11652.6
157,5139.017,12948.3
158,5275.79,13545
159,5226.072,14629
160,5385.083,16546
161,3308.731256,2870
162,4075.535692,2350
163,3152.154154,3542
164,3359.472003,3800
165,3515.433749,3611
166,2038.679938,3611
167,1704.936143,3763
168,1720.958925,4049
169,1552.306679,4227
170,1590.044941,4551
171,509.502155,1921
172,1122.750731,2171
173,677.1947692,2975
174,758.0247154,3725
175,93.77539605,3472
176,130.9934672,4294
177,139.8464201,5052
178,271.0401017,6640
179,312.5350279,6654
180,247.6054973,6998
181,1643.751,4074
182,1285.97,3730
183,1949.968,5665
184,2252.639,6528
185,2200.291,6467
186,2616.858,8202
187,2924.873,9571
188,3065.959,11425
189,3180.155,11769
190,3376.981,12580
